feature,family,cluster,target,horizon,n,base_rate,auc,auc_oriented,pr_auc,pearson,spearman,top_bottom_spread,top_lift,bottom_lift,monotonic_steps,temporal_stable,temporal_min_abs_auc_edge,regime_support_count,direction,incremental_brier_improvement,cluster_rank,research_score
aroon_up_48b,Trend,trend,path_inside_70,2H,4206,0.043509272467902996,0.5458945761325927,0.5458945761325927,0.05112287715724852,0.033671675719287614,0.0324565368247486,0.017885336142642087,0.01594375963673434,-0.0019415765059077467,0,True,0.03492371461328159,3,higher_increases_target,0.00023291542958629036,8.0,55.297
aroon_up_48b,Trend,trend,range_breached,2H,4206,0.956490727532097,0.4541054238674072,0.5458945761325928,0.9509222156156605,-0.03367167571928762,-0.0324565368247486,-0.017885336142642094,-0.015943759636734334,0.0019415765059077605,0,True,0.03492371461328159,3,lower_increases_target,0.00023291542958629036,8.0,55.297
aroon_up_48b,Trend,trend,range_held,2H,4206,0.043509272467902996,0.5458945761325927,0.5458945761325927,0.05112287715724852,0.033671675719287614,0.0324565368247486,0.017885336142642087,0.01594375963673434,-0.0019415765059077467,0,True,0.03492371461328159,3,higher_increases_target,0.00023291542958629036,8.0,55.297
ema_spread_12_48b,Trend,trend,oscillatory_path,4H,4181,0.4396077493422626,0.5215969872056555,0.5215969872056555,0.4627477879638798,0.04365828709457236,0.0371332136813486,0.05910977345612323,0.035272633432857026,-0.0238371400232662,4,True,0.009891921016766503,2,higher_increases_target,0.0007050247518484154,7.0,55.281
roc_6b,Momentum,momentum,downside_breakdown_occurred,2H,4206,0.6314788397527342,0.523954770695686,0.523954770695686,0.6435741414709841,0.03031863431863068,0.040030711537791794,0.04947028901799411,0.022504513398276527,-0.02696577561971758,4,True,0.013758272378961989,2,higher_increases_target,0.0007536982407910231,18.0,55.275
return_6b,Momentum,momentum,downside_breakdown_occurred,2H,4206,0.6314788397527342,0.523954770695686,0.523954770695686,0.6435741414709841,0.03031863431863068,0.040030711537791794,0.04947028901799411,0.022504513398276527,-0.02696577561971758,4,True,0.013758272378961989,2,higher_increases_target,0.0007536982407910231,17.0,55.275
volume_z_48b,Volume,volume,trend_efficiency_high,2H,4206,0.16951973371374227,0.4813433719773749,0.518656628022625,0.16146018472192483,-0.025477730657687006,-0.02424926487309959,-0.021201148954558685,-0.02088715345214892,0.00031399550240976404,-2,True,0.00539790427640896,4,lower_increases_target,0.0003409567980494632,5.0,55.261
rolling_high_dist_12b,Price Structure,price_structure,mean_reversion_occurred,24H,4206,0.7218259629101283,0.550229581207842,0.550229581207842,0.7482348047563667,0.07115019992551821,0.0779695007434547,0.07214011144972188,0.020147877755745558,-0.05199223369397632,2,False,0.0012231301126151006,4,higher_increases_target,0.0018591998978164936,9.0,55.26
dema_dist_48b,Trend,trend,max_abs_excursion_ge_1_5_atr,1H,4206,0.8514027579648121,0.4648015638089919,0.535198436191008,0.8291536919075808,-0.05015120078590404,-0.04336974863431113,-0.046541415179870094,-0.0392743394154661,0.007267075764403996,0,True,0.001741241029970475,2,lower_increases_target,0.0005565221883785387,14.0,55.259
ema_dist_48b,Trend,trend,one_sided_runaway,2H,4206,0.16880646695197338,0.47212347310407066,0.5278765268959293,0.16358279211075544,-0.02659534506643227,-0.03617219953391348,-0.038997517376949176,-0.004716098343174324,0.03428141903377485,-2,True,0.015561805276550156,2,lower_increases_target,0.0007777382521847453,17.0,55.252
close_location_value,Price Structure,price_structure,one_sided_runaway,4H,4180,0.1763157894736842,0.4718302449151544,0.5281697550848456,0.16778723861262013,-0.03706941716360016,-0.03719039852830921,-0.04545454545454547,-0.01842105263157895,0.02703349282296652,-2,True,0.01261115098955512,1,lower_increases_target,0.00030682676678650544,1.0,55.248
close_location_value,Price Structure,price_structure,trend_efficiency_high,4H,4180,0.1763157894736842,0.4718302449151544,0.5281697550848456,0.16778723861262013,-0.03706941716360016,-0.03719039852830921,-0.04545454545454547,-0.01842105263157895,0.02703349282296652,-2,True,0.01261115098955512,1,lower_increases_target,0.00030682676678650544,1.0,55.248
upper_wick_ratio,Price Structure,price_structure,up_excursion_ge_1_0_atr,24H,4205,0.9357907253269917,0.5348336392300814,0.5348336392300814,0.9417329821460685,0.02716771788665349,0.029601612261676756,0.010701545778834642,0.0011890606420926764,-0.009512485136741966,0,True,0.00992714025500907,5,higher_increases_target,0.000119466008246423,18.0,55.232
rolling_vwap_dist_96b,Price Structure,price_structure,mean_reversion_occurred,24H,4206,0.7218259629101283,0.5089512741686655,0.5089512741686655,0.7187833318625699,0.0033654182522865643,0.013894727719335635,0.01867192376454907,-6.615315983105052e-05,-0.01873807692438012,2,True,0.0022599774704545883,4,higher_increases_target,0.0005565313609457168,22.0,55.223
ema_dist_96b,Trend,trend,down_excursion_ge_1_0_atr,12H,4206,0.9075130765572991,0.4708074350103346,0.5291925649896654,0.8951771333629327,-0.03829904466595289,-0.029297428518200053,-0.02268818085019242,-0.01096135241936802,0.011726828430824399,-4,True,0.019215686274509813,4,lower_increases_target,0.00011061886558336176,26.0,55.214
rolling_high_dist_6b,Price Structure,price_structure,max_abs_excursion_ge_1_5_atr,1H,4206,0.8514027579648121,0.5316798659592292,0.5316798659592292,0.8666701612552359,0.020951406939338592,0.039034353099294275,0.036668822604014495,0.023745874615449414,-0.012922947988565081,2,True,0.013742666878072018,3,higher_increases_target,0.00032086017339549855,17.0,55.211
macd_hist_slope_48_288b,Momentum,momentum,down_excursion_ge_1_0_atr,24H,4206,0.9384213029006182,0.5287746032615553,0.5287746032615553,0.942538942775159,0.019748968216684305,0.02396150855071574,0.021315536023453596,0.009260028847300927,-0.012055507176152669,2,True,0.0005006118589386821,5,higher_increases_target,0.00013217283506986727,26.0,55.208
sma_slope_12b,Trend,trend,up_excursion_ge_1_0_atr,4H,4181,0.831858407079646,0.48146324345591923,0.5185367565440808,0.815334680752731,-0.02880327509021655,-0.024015225302545632,-0.026527299023054507,-0.0352076893762967,-0.008680390353242196,0,True,0.0037213489066479366,3,lower_increases_target,0.0006846279609511452,28.0,55.206
volume_percentile_96b,Volume,volume,down_excursion_ge_1_0_atr,2H,4206,0.7532097004279601,0.47781661144197274,0.5221833885580273,0.743789918455308,-0.034837622699269995,-0.03313396562240412,-0.039504492163779714,-0.015992102330457114,0.0235123898333226,-2,True,0.016765761967756476,3,lower_increases_target,0.0004816247825810416,13.0,55.203
minus_di_14b,Trend,trend,downside_breakdown_occurred,24H,4206,0.6524013314312886,0.48294724866690864,0.5170527513330914,0.6303064821859802,-0.034486828844942946,-0.02813076650208343,-0.024210517396719755,-0.03765697946933855,-0.013446462072618792,-2,True,0.0032042298229348343,2,lower_increases_target,0.0011369471717637691,38.0,55.201
ema_spread_atr_24_96b,Volatility,volatility,upside_breakout_occurred,2H,4206,0.6274369947693771,0.4903171779258305,0.5096828220741695,0.609274696833652,-0.020360261447839055,-0.016217261208923032,-0.032548063751726364,-0.03290667372300371,-0.00035860997127734606,-2,True,0.0032050396779025325,2,lower_increases_target,0.001539357240631145,49.0,55.191
ema_spread_atr_48_288b,Volatility,volatility,trend_efficiency_high,2H,4206,0.16951973371374227,0.4762869758752127,0.5237130241247874,0.16518402162352144,-0.028862843057554047,-0.030821400429211096,-0.02592914780221489,-0.001862183178664989,0.024066964623549902,-2,True,0.0011588706278971572,3,lower_increases_target,0.0005850307514663755,28.0,55.186
ema_slope_96b,Trend,trend,down_excursion_ge_1_0_atr,8H,4181,0.8847165749820617,0.5190036782398293,0.5190036782398293,0.8903086882734751,0.025331813219938725,0.02102392609613644,0.030946133662602238,0.017197300616024425,-0.013748833046577813,0,True,0.005641458341509309,4,higher_increases_target,0.00022837879119810833,34.0,55.179
