feature,target,horizon,blocks,stable_sign,min_abs_auc_edge,edges
atr_slope_96b,range_held,8H,3,True,0.27871280887544125,"[0.2945068291747459, 0.27871280887544125, 0.2897280024939599]"
di_spread_48b,fast_1atr_touch,4H,1,True,0.49353448275862066,[-0.49353448275862066]
rv_slope_48b,fast_1atr_touch,4H,1,True,0.4953304597701149,[-0.4953304597701149]
atr_pct_6b,realized_over_range_width_ge_1,24H,3,True,0.2742479295557956,"[-0.3118004395783304, -0.35415089100913727, -0.2742479295557956]"
bb_keltner_width_ratio_20b,fast_1atr_touch,4H,1,True,0.4942528735632184,[-0.4942528735632184]
ema_slope_48b,max_abs_excursion_ge_1_5_atr,8H,3,True,0.46267049533381194,"[-0.4978448275862069, -0.4985642498205312, -0.46267049533381194]"
minus_di_24b,fast_1atr_touch,4H,1,True,0.49066091954022983,[0.49066091954022983]
atr_pct_12b,range_breached,12H,3,True,0.3145732085195212,"[-0.3417239644474258, -0.3145732085195212, -0.32143312914752425]"
atr_pct_12b,range_held,12H,3,True,0.3145732085195212,"[0.3417239644474258, 0.3145732085195212, 0.3214331291475242]"
atr_pct_12b,path_inside_70,12H,3,True,0.3145732085195212,"[0.3417239644474258, 0.3145732085195212, 0.3214331291475242]"
atr_pct_24b,realized_over_range_width_ge_1,12H,3,True,0.2859010722933241,"[-0.2859010722933241, -0.28623067755617093, -0.28728050083982287]"
choppiness_96b,fast_1atr_touch,4H,1,True,0.49102011494252873,[0.49102011494252873]
obv_slope_96b,max_abs_excursion_ge_1_5_atr,12H,1,True,0.49000713775874377,[-0.49000713775874377]
dema_dist_6b,down_excursion_ge_1_0_atr,2H,3,True,0.19330648027484892,"[-0.213329166000378, -0.19330648027484892, -0.20796944408504764]"
ema_slope_48b,fast_1atr_touch,4H,1,True,0.4956896551724138,[-0.4956896551724138]
atr_48b,upside_breakout_occurred,24H,3,True,0.1563101215803045,"[-0.23478753601084562, -0.1563101215803045, -0.22265475274960023]"
ema_spread_12_48b,max_abs_excursion_ge_1_5_atr,8H,3,True,0.4547738693467337,"[-0.49712643678160917, -0.49784637473079685, -0.4547738693467337]"
ema_dist_96b,max_abs_excursion_ge_1_5_atr,8H,3,True,0.46051687006460873,"[-0.4906609195402299, -0.49210337401292176, -0.46051687006460873]"
ema_spread_6_24b,max_abs_excursion_ge_1_5_atr,8H,3,True,0.45979899497487436,"[-0.49353448275862066, -0.4892318736539842, -0.45979899497487436]"
plus_di_14b,fast_1atr_touch,4H,1,True,0.4863505747126437,[-0.4863505747126437]
ema_spread_atr_24_96b,fast_1atr_touch,4H,1,True,0.4895833333333333,[-0.4895833333333333]
di_spread_14b,fast_1atr_touch,4H,1,True,0.48670977011494254,[-0.48670977011494254]
atr_pct_12b,range_held,8H,3,True,0.2932177025846455,"[0.2932177025846455, 0.31430702639099006, 0.302334190632063]"
atr_pct_12b,path_inside_70,8H,3,True,0.2932177025846455,"[0.2932177025846455, 0.31430702639099006, 0.302334190632063]"
atr_pct_12b,range_breached,8H,3,True,0.2932177025846455,"[-0.2932177025846455, -0.31430702639099006, -0.30233419063206296]"
sma_dist_96b,max_abs_excursion_ge_1_5_atr,8H,3,True,0.45549174443646806,"[-0.49137931034482757, -0.4942569992821249, -0.45549174443646806]"
sma_slope_24b,fast_1atr_touch,4H,1,True,0.4953304597701149,[-0.4953304597701149]
ema_spread_atr_6_24b,fast_1atr_touch,4H,1,True,0.4874281609195402,[-0.4874281609195402]
ema_spread_12_48b,fast_1atr_touch,4H,1,True,0.49461206896551724,[-0.49461206896551724]
sma_slope_12b,fast_1atr_touch,4H,1,True,0.49604885057471265,[-0.49604885057471265]
ema_spread_atr_24_96b,max_abs_excursion_ge_1_5_atr,8H,3,True,0.4167264895908112,"[-0.4920977011494253, -0.4956927494615937, -0.4167264895908112]"
choppiness_24b,fast_1atr_touch,4H,1,True,0.48599137931034486,[0.48599137931034486]
obv_slope_24b,fast_1atr_touch,4H,1,True,0.45905172413793105,[-0.45905172413793105]
ema_dist_6b,down_excursion_ge_1_0_atr,1H,3,True,0.18870880897185482,"[-0.20088706808505757, -0.18870880897185482, -0.2095513680984173]"
tema_dist_6b,down_excursion_ge_1_0_atr,2H,3,True,0.19478339849148996,"[-0.2048975853697539, -0.19478339849148996, -0.19582632509595893]"
atr_12b,realized_over_range_width_ge_1,4H,3,True,0.18326278290025144,"[-0.18326278290025144, -0.2524592189817103, -0.2521549836734183]"
dema_dist_96b,max_abs_excursion_ge_1_5_atr,8H,3,True,0.46841349605168703,"[-0.4920977011494253, -0.4691313711414214, -0.46841349605168703]"
macd_hist_48_288b,fast_1atr_touch,4H,1,True,0.49389367816091956,[-0.49389367816091956]
atr_slope_12b,max_abs_excursion_ge_1_5_atr,8H,3,True,0.444683908045977,"[0.444683908045977, 0.4662598707824839, 0.47702799712849964]"
sma_dist_96b,fast_1atr_touch,4H,1,True,0.4931752873563218,[-0.4931752873563218]
rsi_48b,fast_1atr_touch,4H,1,True,0.48455459770114945,[-0.48455459770114945]
rsi_neutral_dist_48b,fast_1atr_touch,4H,1,True,0.48455459770114945,[-0.48455459770114945]
roc_24b,fast_1atr_touch,4H,1,True,0.49461206896551724,[-0.49461206896551724]
return_24b,fast_1atr_touch,4H,1,True,0.49461206896551724,[-0.49461206896551724]
consecutive_up_bars,down_excursion_ge_1_0_atr,1H,3,True,0.1876319340718262,"[-0.19714944744724067, -0.1876319340718262, -0.20079191148990372]"
rsi_24b,fast_1atr_touch,4H,1,True,0.4827586206896552,[-0.4827586206896552]
macd_hist_slope_48_288b,fast_1atr_touch,4H,1,True,0.49461206896551724,[-0.49461206896551724]
rsi_neutral_dist_24b,fast_1atr_touch,4H,1,True,0.4827586206896552,[-0.4827586206896552]
ema_slope_24b,max_abs_excursion_ge_1_5_atr,8H,3,True,0.4418521177315147,"[-0.49353448275862066, -0.4892318736539842, -0.4418521177315147]"
ema_spread_6_24b,fast_1atr_touch,4H,1,True,0.4931752873563218,[-0.4931752873563218]
consecutive_down_bars,down_excursion_ge_1_0_atr,1H,3,True,0.1852423084426389,"[0.1852423084426389, 0.19732493461026368, 0.19904156816608687]"
sma_dist_24b,max_abs_excursion_ge_1_5_atr,8H,3,True,0.44903086862885855,"[-0.4834770114942529, -0.44903086862885855, -0.47128499641062455]"
sma_dist_48b,fast_1atr_touch,4H,1,True,0.492816091954023,[-0.492816091954023]
tema_dist_6b,up_excursion_ge_1_0_atr,2H,3,True,0.1882419453429771,"[0.19247323594317078, 0.20629553221220198, 0.1882419453429771]"
ema_dist_48b,fast_1atr_touch,4H,1,True,0.4917385057471264,[-0.4917385057471264]
bollinger_bandwidth_20b,realized_over_range_width_ge_1,12H,3,True,0.2451061230722248,"[-0.30175717744725006, -0.248523432296961, -0.2451061230722248]"
dema_dist_96b,fast_1atr_touch,4H,1,True,0.49389367816091956,[-0.49389367816091956]
tema_dist_288b,max_abs_excursion_ge_1_5_atr,8H,3,True,0.4554419284149014,"[-0.49634769905040177, -0.48319941563184804, -0.4554419284149014]"
atr_slope_48b,realized_over_range_width_ge_1,24H,3,True,0.19709728632688467,"[-0.271485408441532, -0.3076758039275077, -0.19709728632688467]"
atr_6b,realized_over_range_width_ge_1,12H,3,True,0.25574324324324327,"[-0.2899780929320881, -0.26183225840372953, -0.25574324324324327]"
minus_di_24b,max_abs_excursion_ge_1_5_atr,8H,3,True,0.4152907394113424,"[0.47126436781609193, 0.4949748743718593, 0.4152907394113424]"
choppiness_288b,fast_1atr_touch,4H,1,True,0.48239942528735635,[0.48239942528735635]
tema_dist_288b,fast_1atr_touch,4H,1,True,0.4930555555555556,[-0.4930555555555556]
minus_di_48b,fast_1atr_touch,4H,1,True,0.47449712643678166,[0.47449712643678166]
bb_keltner_width_ratio_96b,fast_1atr_touch,4H,1,True,0.47737068965517243,[-0.47737068965517243]
atr_pct_12b,realized_over_range_width_ge_1,4H,3,True,0.18945096395641242,"[-0.18945096395641242, -0.24604547701433516, -0.2528785243939564]"
price_efficiency_24b,max_abs_excursion_ge_1_5_atr,8H,3,True,0.32483847810480976,"[-0.4892241379310345, -0.43610911701363964, -0.32483847810480976]"
ema_dist_96b,fast_1atr_touch,4H,1,True,0.49030172413793105,[-0.49030172413793105]
rv_12b,realized_over_range_width_ge_1,12H,3,True,0.24529317453046268,"[-0.30199239017640955, -0.2802805916786428, -0.24529317453046268]"
ema_dist_24b,max_abs_excursion_ge_1_5_atr,8H,3,True,0.4310839913854989,"[-0.4827586206896552, -0.4310839913854989, -0.4720028715003589]"
rv_12b,fast_1atr_touch,4H,1,True,0.49748563218390807,[-0.49748563218390807]
adx_14b,max_abs_excursion_ge_1_5_atr,8H,3,True,0.37150035893754485,"[-0.4956896551724138, -0.4985642498205312, -0.37150035893754485]"
rsi_24b,max_abs_excursion_ge_1_5_atr,8H,3,True,0.40524048815506103,"[-0.49353448275862066, -0.46984924623115576, -0.40524048815506103]"
rsi_neutral_dist_24b,max_abs_excursion_ge_1_5_atr,8H,3,True,0.40524048815506103,"[-0.49353448275862066, -0.46984924623115576, -0.40524048815506103]"
dema_dist_288b,fast_1atr_touch,4H,1,True,0.4916907514450867,[-0.4916907514450867]
adx_24b,fast_1atr_touch,4H,1,True,0.47413793103448276,[-0.47413793103448276]
rv_slope_288b,fast_1atr_touch,4H,1,True,0.4780890804597701,[-0.4780890804597701]
dema_dist_6b,up_excursion_ge_1_0_atr,2H,3,True,0.17945862420870096,"[0.18694977033325777, 0.20406608572896012, 0.17945862420870096]"
ema_slope_48b,max_abs_excursion_ge_1_5_atr,12H,1,True,0.49785867237687365,[-0.49785867237687365]
sma_slope_48b,fast_1atr_touch,4H,1,True,0.4899425287356322,[-0.4899425287356322]
ema_spread_12_48b,max_abs_excursion_ge_1_5_atr,12H,1,True,0.4971448965024982,[-0.4971448965024982]
tema_dist_288b,max_abs_excursion_ge_1_5_atr,12H,1,True,0.4963689179375454,[-0.4963689179375454]
sma_dist_48b,max_abs_excursion_ge_1_5_atr,12H,1,True,0.49571734475374735,[-0.49571734475374735]
return_24b,max_abs_excursion_ge_1_5_atr,12H,1,True,0.493576017130621,[-0.493576017130621]
roc_24b,max_abs_excursion_ge_1_5_atr,12H,1,True,0.493576017130621,[-0.493576017130621]
adx_14b,max_abs_excursion_ge_1_5_atr,12H,1,True,0.49571734475374735,[-0.49571734475374735]
macd_hist_48_288b,max_abs_excursion_ge_1_5_atr,12H,1,True,0.493576017130621,[-0.493576017130621]
atr_slope_96b,max_abs_excursion_ge_1_5_atr,12H,1,True,0.49857244825124913,[-0.49857244825124913]
ema_spread_6_24b,max_abs_excursion_ge_1_5_atr,12H,1,True,0.493576017130621,[-0.493576017130621]
close_location_value,down_excursion_ge_1_0_atr,1H,3,True,0.17552614649388842,"[-0.17552614649388842, -0.1855806901461441, -0.19226465456427178]"
bollinger_pct_b_96b,max_abs_excursion_ge_1_5_atr,8H,3,True,0.39231873653984206,"[-0.4755747126436782, -0.39231873653984206, -0.4806173725771716]"
adx_24b,max_abs_excursion_ge_1_5_atr,12H,1,True,0.49571734475374735,[-0.49571734475374735]
ema_dist_48b,max_abs_excursion_ge_1_5_atr,12H,1,True,0.49286224125624556,[-0.49286224125624556]
dema_dist_96b,max_abs_excursion_ge_1_5_atr,12H,1,True,0.49214846538187007,[-0.49214846538187007]
ema_slope_24b,max_abs_excursion_ge_1_5_atr,12H,1,True,0.493576017130621,[-0.493576017130621]
rv_slope_96b,realized_over_range_width_ge_1,12H,3,True,0.21589873462091208,"[-0.2752011991237173, -0.21589873462091208, -0.21840357306459002]"
stoch_k_6b,down_excursion_ge_1_0_atr,1H,3,True,0.17803580721686413,"[-0.18234881904236744, -0.17803580721686413, -0.19233984303301438]"
atr_pct_12b,range_held,24H,3,True,0.3274795634840736,"[0.37530362481315394, 0.41559291052131686, 0.3274795634840736]"
atr_pct_12b,range_breached,24H,3,True,0.3274795634840736,"[-0.37530362481315394, -0.4155929105213168, -0.3274795634840736]"
atr_pct_12b,path_inside_70,24H,3,True,0.3274795634840736,"[0.37530362481315394, 0.41559291052131686, 0.3274795634840736]"
rsi_24b,max_abs_excursion_ge_1_5_atr,12H,1,True,0.493576017130621,[-0.493576017130621]
macd_hist_slope_12_48b,max_abs_excursion_ge_1_5_atr,12H,1,True,0.48929336188436834,[0.48929336188436834]
rsi_neutral_dist_24b,max_abs_excursion_ge_1_5_atr,12H,1,True,0.493576017130621,[-0.493576017130621]
tema_dist_12b,up_excursion_ge_1_0_atr,1H,3,True,0.1749130443294462,"[0.18947581572005556, 0.19140019616901482, 0.1749130443294462]"
bollinger_bandwidth_20b,fast_1atr_touch,4H,1,True,0.4931752873563218,[-0.4931752873563218]
price_efficiency_96b,max_abs_excursion_ge_1_5_atr,8H,3,True,0.29971284996410624,"[-0.4920977011494253, -0.4705671213208902, -0.29971284996410624]"
bollinger_pct_b_96b,fast_1atr_touch,4H,1,True,0.4680316091954023,[-0.4680316091954023]
roc_48b,max_abs_excursion_ge_1_5_atr,12H,1,True,0.49000713775874377,[-0.49000713775874377]
return_48b,max_abs_excursion_ge_1_5_atr,12H,1,True,0.49000713775874377,[-0.49000713775874377]
return_48b,fast_1atr_touch,4H,1,True,0.48814655172413796,[-0.48814655172413796]
