interaction,target,horizon,thirds,min_n,lifts,chronologically_stable
bb_compressed_and_low_efficiency,downside_breakdown_occurred,12H,3,94,"-0.1408,0.1291,-0.0387",False
bb_compressed_and_low_efficiency,downside_breakdown_occurred,1H,3,94,"-0.0164,0.0359,-0.0048",False
bb_compressed_and_low_efficiency,downside_breakdown_occurred,24H,3,94,"-0.1089,0.1205,-0.0746",False
bb_compressed_and_low_efficiency,downside_breakdown_occurred,2H,3,94,"-0.0532,0.0595,0.0075",False
bb_compressed_and_low_efficiency,downside_breakdown_occurred,4H,3,94,"-0.1116,0.0645,-0.0182",False
bb_compressed_and_low_efficiency,downside_breakdown_occurred,8H,3,94,"-0.1025,0.1114,-0.0837",False
bb_compressed_and_low_efficiency,fast_1atr_touch,1H,3,94,"0.0015,0.0066,0.0164",True
bb_compressed_and_low_efficiency,fast_1atr_touch,2H,3,94,"0.0043,0.0072,0.0021",True
bb_compressed_and_low_efficiency,fast_1atr_touch,4H,3,94,"0.0000,0.0014,0.0000",True
bb_compressed_and_low_efficiency,max_abs_excursion_ge_1_5_atr,12H,3,94,"0.0007,0.0000,0.0000",True
bb_compressed_and_low_efficiency,max_abs_excursion_ge_1_5_atr,1H,3,94,"0.0555,0.0278,0.0319",True
bb_compressed_and_low_efficiency,max_abs_excursion_ge_1_5_atr,2H,3,94,"0.0314,0.0073,0.0173",True
bb_compressed_and_low_efficiency,max_abs_excursion_ge_1_5_atr,4H,3,94,"0.0064,0.0071,0.0029",True
bb_compressed_and_low_efficiency,max_abs_excursion_ge_1_5_atr,8H,3,94,"0.0007,0.0007,0.0007",True
bb_compressed_and_low_efficiency,one_sided_runaway,12H,3,94,"0.1096,-0.0053,0.0429",False
bb_compressed_and_low_efficiency,one_sided_runaway,1H,3,94,"-0.0385,-0.0108,-0.0649",True
bb_compressed_and_low_efficiency,one_sided_runaway,24H,3,94,"-0.0366,0.0103,0.0287",False
bb_compressed_and_low_efficiency,one_sided_runaway,2H,3,94,"-0.0273,-0.0186,-0.0447",True
bb_compressed_and_low_efficiency,one_sided_runaway,4H,3,94,"0.0118,-0.0443,-0.0408",False
bb_compressed_and_low_efficiency,one_sided_runaway,8H,3,94,"0.0862,-0.0187,0.1275",False
bb_compressed_and_low_efficiency,oscillatory_path,12H,3,94,"-0.0699,-0.0021,-0.0312",True
bb_compressed_and_low_efficiency,oscillatory_path,1H,3,94,"0.0316,0.0414,-0.0520",False
bb_compressed_and_low_efficiency,oscillatory_path,24H,3,94,"0.0721,0.0241,-0.0033",False
bb_compressed_and_low_efficiency,oscillatory_path,2H,3,94,"0.0295,0.0111,0.0145",True
bb_compressed_and_low_efficiency,oscillatory_path,4H,3,94,"-0.0365,0.0558,-0.0249",False
bb_compressed_and_low_efficiency,oscillatory_path,8H,3,94,"-0.0707,-0.0316,-0.0561",True
bb_compressed_and_low_efficiency,path_inside_70,12H,3,94,"-0.0478,-0.0472,-0.0492",True
bb_compressed_and_low_efficiency,path_inside_70,1H,3,94,"-0.0506,-0.0194,-0.0019",True
bb_compressed_and_low_efficiency,path_inside_70,24H,3,94,"-0.0456,-0.0592,-0.0292",True
bb_compressed_and_low_efficiency,path_inside_70,2H,3,94,"-0.0343,-0.0272,-0.0371",True
bb_compressed_and_low_efficiency,path_inside_70,4H,3,94,"-0.0442,-0.0229,-0.0414",True
bb_compressed_and_low_efficiency,path_inside_70,8H,3,94,"-0.0506,-0.0386,-0.0514",True
bb_compressed_and_low_efficiency,range_breached,12H,3,94,"0.0478,0.0472,0.0492",True
bb_compressed_and_low_efficiency,range_breached,1H,3,94,"0.0506,0.0194,0.0019",True
bb_compressed_and_low_efficiency,range_breached,24H,3,94,"0.0456,0.0592,0.0292",True
bb_compressed_and_low_efficiency,range_breached,2H,3,94,"0.0343,0.0272,0.0371",True
bb_compressed_and_low_efficiency,range_breached,4H,3,94,"0.0442,0.0229,0.0414",True
bb_compressed_and_low_efficiency,range_breached,8H,3,94,"0.0506,0.0386,0.0514",True
bb_compressed_and_low_efficiency,range_held,12H,3,94,"-0.0478,-0.0472,-0.0492",True
bb_compressed_and_low_efficiency,range_held,1H,3,94,"-0.0506,-0.0194,-0.0019",True
bb_compressed_and_low_efficiency,range_held,24H,3,94,"-0.0456,-0.0592,-0.0292",True
bb_compressed_and_low_efficiency,range_held,2H,3,94,"-0.0343,-0.0272,-0.0371",True
bb_compressed_and_low_efficiency,range_held,4H,3,94,"-0.0442,-0.0229,-0.0414",True
bb_compressed_and_low_efficiency,range_held,8H,3,94,"-0.0506,-0.0386,-0.0514",True
bb_compressed_and_low_efficiency,realized_over_range_width_ge_1,12H,3,94,"0.1156,0.0817,0.1130",True
bb_compressed_and_low_efficiency,realized_over_range_width_ge_1,1H,3,94,"0.0873,0.0475,0.0476",True
bb_compressed_and_low_efficiency,realized_over_range_width_ge_1,24H,3,94,"0.0914,0.0987,0.0884",True
bb_compressed_and_low_efficiency,realized_over_range_width_ge_1,2H,3,94,"0.0526,0.0398,0.0365",True
bb_compressed_and_low_efficiency,realized_over_range_width_ge_1,4H,3,94,"0.0902,0.0725,0.1146",True
bb_compressed_and_low_efficiency,realized_over_range_width_ge_1,8H,3,94,"0.1121,0.0889,0.0774",True
bb_compressed_and_low_efficiency,trend_efficiency_high,12H,3,94,"0.1096,-0.0053,0.0429",False
bb_compressed_and_low_efficiency,trend_efficiency_high,1H,3,94,"-0.0499,-0.0158,-0.0502",True
bb_compressed_and_low_efficiency,trend_efficiency_high,24H,3,94,"-0.0366,0.0103,0.0287",False
bb_compressed_and_low_efficiency,trend_efficiency_high,2H,3,94,"-0.0273,-0.0201,-0.0454",True
bb_compressed_and_low_efficiency,trend_efficiency_high,4H,3,94,"0.0118,-0.0443,-0.0408",False
bb_compressed_and_low_efficiency,trend_efficiency_high,8H,3,94,"0.0862,-0.0187,0.1275",False
bb_compressed_and_low_efficiency,upside_breakout_occurred,12H,3,94,"0.2242,0.0983,0.1798",True
bb_compressed_and_low_efficiency,upside_breakout_occurred,1H,3,94,"0.1064,0.0276,0.1081",True
bb_compressed_and_low_efficiency,upside_breakout_occurred,24H,3,94,"0.2200,0.1003,0.1417",True
bb_compressed_and_low_efficiency,upside_breakout_occurred,2H,3,94,"0.1632,0.0631,0.1552",True
bb_compressed_and_low_efficiency,upside_breakout_occurred,4H,3,94,"0.2116,0.0411,0.1889",True
bb_compressed_and_low_efficiency,upside_breakout_occurred,8H,3,94,"0.2328,0.0601,0.1888",True
bb_compressed_and_low_volume,downside_breakdown_occurred,12H,3,97,"-0.1167,0.0757,0.1184",False
bb_compressed_and_low_volume,downside_breakdown_occurred,1H,3,97,"-0.0771,0.0069,0.0753",False
bb_compressed_and_low_volume,downside_breakdown_occurred,24H,3,97,"-0.0548,0.0966,0.1141",False
bb_compressed_and_low_volume,downside_breakdown_occurred,2H,3,97,"-0.1122,0.0278,0.1051",False
bb_compressed_and_low_volume,downside_breakdown_occurred,4H,3,97,"-0.1287,0.0295,0.1145",False
bb_compressed_and_low_volume,downside_breakdown_occurred,8H,3,97,"-0.1000,0.0649,0.0808",False
bb_compressed_and_low_volume,fast_1atr_touch,1H,3,97,"0.0125,0.0134,0.0095",True
bb_compressed_and_low_volume,fast_1atr_touch,2H,3,97,"0.0043,0.0077,0.0021",True
bb_compressed_and_low_volume,fast_1atr_touch,4H,3,97,"0.0000,0.0014,0.0000",True
bb_compressed_and_low_volume,max_abs_excursion_ge_1_5_atr,12H,3,97,"0.0007,0.0000,0.0000",True
bb_compressed_and_low_volume,max_abs_excursion_ge_1_5_atr,1H,3,97,"0.0687,0.0421,0.0574",True
bb_compressed_and_low_volume,max_abs_excursion_ge_1_5_atr,2H,3,97,"0.0314,0.0296,0.0070",True
bb_compressed_and_low_volume,max_abs_excursion_ge_1_5_atr,4H,3,97,"0.0064,0.0071,0.0029",True
bb_compressed_and_low_volume,max_abs_excursion_ge_1_5_atr,8H,3,97,"0.0007,0.0007,0.0007",True
bb_compressed_and_low_volume,one_sided_runaway,12H,3,97,"0.0080,-0.0187,0.0125",False
bb_compressed_and_low_volume,one_sided_runaway,1H,3,97,"-0.0730,0.0029,-0.0380",False
bb_compressed_and_low_volume,one_sided_runaway,24H,3,97,"-0.1240,-0.0271,-0.0295",True
bb_compressed_and_low_volume,one_sided_runaway,2H,3,97,"-0.0219,-0.0018,-0.0147",True
bb_compressed_and_low_volume,one_sided_runaway,4H,3,97,"0.0268,-0.0232,-0.0179",False
