target,horizon,feature,model_family,feature_set,permutation_brier_increase,test_brier_skill
path_inside_70,12H,rv_12b,logistic,all_step13,0.00011105449925974398,0.03413222917360503
path_inside_70,12H,price_efficiency_96b,logistic,all_step13,1.732825229221191e-05,0.03413222917360503
path_inside_70,12H,rolling_vwap_z_96b,logistic,all_step13,6.17202609198425e-05,0.03413222917360503
path_inside_70,12H,donchian_pos_96b,logistic,all_step13,9.058408819816177e-05,0.03413222917360503
path_inside_70,12H,volume_z_96b,logistic,all_step13,9.459605164108265e-05,0.03413222917360503
path_inside_70,12H,high_atr_pct_and_rising_atr_slope,logistic,all_step13,8.167126596983487e-05,0.03413222917360503
path_inside_70,12H,ema_spread_high_and_rising_atr,logistic,all_step13,-3.3513046723554485e-06,0.03413222917360503
path_inside_70,12H,low_vwap_displacement_and_low_atr,logistic,all_step13,2.2958188758415154e-07,0.03413222917360503
path_inside_70,12H,high_vwap_displacement_and_rising_atr,logistic,all_step13,7.699088340293314e-06,0.03413222917360503
path_inside_70,12H,low_atr_and_mid_donchian,logistic,all_step13,4.4156420273000485e-07,0.03413222917360503
path_inside_70,12H,rising_atr_and_high_volume,logistic,all_step13,-3.624414912084539e-07,0.03413222917360503
path_inside_70,12H,low_atr_pct_and_falling_atr_slope,logistic,all_step13,-1.121581193211374e-05,0.03413222917360503
path_inside_70,12H,low_adx_and_falling_atr,logistic,all_step13,-1.7247040074996889e-06,0.03413222917360503
path_inside_70,24H,atr_slope_96b,logistic,step11_individuals,0.00016841339767989516,0.022545576484792162
path_inside_70,24H,rv_slope_96b,logistic,step11_individuals,-1.5648065256904098e-05,0.022545576484792162
path_inside_70,24H,atr_pct_12b,logistic,step11_individuals,0.0001852998631121372,0.022545576484792162
path_inside_70,24H,bollinger_bandwidth_20b,logistic,step11_individuals,0.00018499473330255145,0.022545576484792162
path_inside_70,24H,keltner_width_20b,logistic,step11_individuals,-1.7756435154447914e-06,0.022545576484792162
path_inside_70,24H,rv_12b,logistic,step11_individuals,0.00027728585745384615,0.022545576484792162
path_inside_70,24H,price_efficiency_96b,logistic,step11_individuals,0.00014739227514348752,0.022545576484792162
path_inside_70,24H,rolling_vwap_z_96b,logistic,step11_individuals,5.263679354444717e-05,0.022545576484792162
path_inside_70,24H,donchian_pos_96b,logistic,step11_individuals,-2.412876537857822e-05,0.022545576484792162
path_inside_70,24H,volume_z_96b,logistic,step11_individuals,-0.0001404320796495745,0.022545576484792162
range_breached,1H,atr_slope_96b,logistic,step11_individuals,-0.00011068190809211675,-0.00012069118430813042
range_breached,1H,rv_slope_96b,logistic,step11_individuals,-1.7287185436816455e-05,-0.00012069118430813042
range_breached,1H,atr_pct_12b,logistic,step11_individuals,3.2577343786477364e-07,-0.00012069118430813042
range_breached,1H,bollinger_bandwidth_20b,logistic,step11_individuals,0.000112683240345815,-0.00012069118430813042
range_breached,1H,keltner_width_20b,logistic,step11_individuals,5.921492289412411e-05,-0.00012069118430813042
range_breached,1H,rv_12b,logistic,step11_individuals,2.0289980703518118e-05,-0.00012069118430813042
range_breached,1H,price_efficiency_96b,logistic,step11_individuals,-5.931333564770935e-05,-0.00012069118430813042
