target,horizon,regime,n,positives,base_rate,brier,brier_skill_vs_train_base,log_loss,auc,pr_auc,ece,calibration_intercept,calibration_slope
oscillatory_path,12H,LOW_VOL_RANGE,579,296,0.5112262521588946,0.2634172640612051,-0.02759946092157306,0.7206209567098534,0.4467099608442365,0.4928620202338448,0.10656423077052701,0.29404646806835777,0.7460770344605643
oscillatory_path,12H,NORMAL_RANGE,176,106,0.6022727272727273,0.26971223607265465,-0.0028595281817955787,0.7333087712284955,0.534366576819407,0.6594593340746735,0.17954007775149608,0.6456873643386364,0.8185909651764925
oscillatory_path,24H,LOW_VOL_RANGE,579,339,0.5854922279792746,0.305147236991234,-0.15418158410321903,0.808864392175485,0.37984267453294,0.6795804478758087,0.2505710266213077,0.6967693601816054,0.5295949680117085
oscillatory_path,24H,NORMAL_RANGE,176,106,0.6022727272727273,0.3113217727094982,-0.16837123716401337,0.8219056930550915,0.6039083557951482,0.572613769919159,0.27081060418483444,0.7558896890066155,0.5107794201939734
trend_efficiency_high,1H,LOW_VOL_RANGE,579,94,0.16234887737478412,0.1360633717532892,-0.0005028768084638369,0.4438579123541659,0.5157051985084449,0.1738988926504679,0.013963548476956744,0.0275657109847867,0.9553791758604947
trend_efficiency_high,1H,NORMAL_RANGE,176,22,0.125,0.11089899166171086,8.25566829208979e-05,0.3825356580464964,0.3659976387249115,0.13456978061125213,0.02533327352897291,-0.06907903751978914,1.0753844213264465
trend_efficiency_high,2H,LOW_VOL_RANGE,579,88,0.15198618307426598,0.12881729897376143,0.007357000076087528,0.42591044944620365,0.5053925199037216,0.19228693667613753,0.015113256721274143,0.032745097465130275,0.9532635396914093
trend_efficiency_high,2H,NORMAL_RANGE,176,34,0.19318181818181818,0.15884542475051538,-0.018283110628601884,0.5022206817607041,0.4884009942004971,0.2421307386462317,0.054955583561024285,0.0917124056551431,0.8309395187744718
trend_efficiency_high,4H,LOW_VOL_RANGE,579,94,0.16234887737478412,0.13881777403453374,-0.018328890023534106,0.4542994341150024,0.4647291072603641,0.15624626658615423,0.03771767197186682,-0.07620850470336933,0.9284158713768409
trend_efficiency_high,4H,NORMAL_RANGE,176,37,0.21022727272727273,0.17076783091852302,-0.023059661168035595,0.5293781440428471,0.5129301963834338,0.19997874463935097,0.10077814135796496,0.046845437183896985,0.8044992408163953
trend_efficiency_high,8H,LOW_VOL_RANGE,579,104,0.17962003454231434,0.14987715941111932,-0.016643101454419273,0.4803148015266043,0.45293522267206476,0.16701977448158917,0.024708317112220577,-0.05081821672219968,0.9280386085473786
trend_efficiency_high,8H,NORMAL_RANGE,176,24,0.13636363636363635,0.12122413135217966,-0.0067262438717272666,0.41223671129462774,0.4037828947368421,0.12278989368739217,0.021991712462629025,-0.11306621431092402,1.005479586304055
trend_efficiency_high,12H,LOW_VOL_RANGE,579,100,0.17271157167530224,0.14594600419069506,-0.018090570169157827,0.469488174017295,0.5152609603340292,0.16330202626237164,0.05570920208646445,-0.13336095750538365,1.1087069447766205
trend_efficiency_high,12H,NORMAL_RANGE,176,16,0.09090909090909091,0.09784519282223879,-0.048098084018044496,0.358214733724639,0.519140625,0.08702373047882402,0.11461096046011496,-0.36252076047953663,1.3874698177007583
trend_efficiency_high,24H,LOW_VOL_RANGE,579,90,0.15544041450777202,0.13655477822218756,-0.019712550172015897,0.4469288138806657,0.5885253351511021,0.20853199795150823,0.08402087978609318,-0.2352224492674594,1.2635108987860095
trend_efficiency_high,24H,NORMAL_RANGE,176,6,0.03409090909090909,0.07834368047875177,-0.2484647686667325,0.3160762997779163,0.4764705882352941,0.041773713573538616,0.20380212439137965,-0.8124207045505478,1.7912185029104755
one_sided_runaway,1H,LOW_VOL_RANGE,579,88,0.15198618307426598,0.12898191751308333,-0.000649033398493648,0.42654419958012363,0.5085632290316608,0.1652177370436264,0.0137318721634479,0.026860650337862273,0.9547454254103315
one_sided_runaway,1H,NORMAL_RANGE,176,22,0.125,0.11004871106884159,0.0022883496422804184,0.3794934853482966,0.3659976387249115,0.13456978061125213,0.014347345266894324,-0.03764197388086606,1.0437890515366879
one_sided_runaway,2H,LOW_VOL_RANGE,579,88,0.15198618307426598,0.12889615322653541,0.006749363348304005,0.42623150582795427,0.5053925199037216,0.19228693667613753,0.017486579091151283,0.036834218582912547,0.9451003703731446
one_sided_runaway,2H,NORMAL_RANGE,176,34,0.19318181818181818,0.1591126599569691,-0.019996229515875985,0.5033531915404871,0.4884009942004971,0.2421307386462317,0.05733616087822482,0.09472286435097906,0.8235131020820646
one_sided_runaway,4H,LOW_VOL_RANGE,579,94,0.16234887737478412,0.13881777403453374,-0.018328890023534106,0.4542994341150024,0.4647291072603641,0.15624626658615423,0.03771767197186682,-0.07620850470336933,0.9284158713768409
one_sided_runaway,4H,NORMAL_RANGE,176,37,0.21022727272727273,0.17076783091852302,-0.023059661168035595,0.5293781440428471,0.5129301963834338,0.19997874463935097,0.10077814135796496,0.046845437183896985,0.8044992408163953
one_sided_runaway,8H,LOW_VOL_RANGE,579,104,0.17962003454231434,0.14987715941111932,-0.016643101454419273,0.4803148015266043,0.45293522267206476,0.16701977448158917,0.024708317112220577,-0.05081821672219968,0.9280386085473786
one_sided_runaway,8H,NORMAL_RANGE,176,24,0.13636363636363635,0.12122413135217966,-0.0067262438717272666,0.41223671129462774,0.4037828947368421,0.12278989368739217,0.021991712462629025,-0.11306621431092402,1.005479586304055
one_sided_runaway,12H,LOW_VOL_RANGE,579,100,0.17271157167530224,0.14594600419069506,-0.018090570169157827,0.469488174017295,0.5152609603340292,0.16330202626237164,0.05570920208646445,-0.13336095750538365,1.1087069447766205
one_sided_runaway,12H,NORMAL_RANGE,176,16,0.09090909090909091,0.09784519282223879,-0.048098084018044496,0.358214733724639,0.519140625,0.08702373047882402,0.11461096046011496,-0.36252076047953663,1.3874698177007583
one_sided_runaway,24H,LOW_VOL_RANGE,579,90,0.15544041450777202,0.13655477822218756,-0.019712550172015897,0.4469288138806657,0.5885253351511021,0.20853199795150823,0.08402087978609318,-0.2352224492674594,1.2635108987860095
one_sided_runaway,24H,NORMAL_RANGE,176,6,0.03409090909090909,0.07834368047875177,-0.2484647686667325,0.3160762997779163,0.4764705882352941,0.041773713573538616,0.20380212439137965,-0.8124207045505478,1.7912185029104755
upper_breach_only,1H,LOW_VOL_RANGE,579,170,0.29360967184801384,0.2069198372699375,0.005091742541660782,0.6037321250935644,0.5350783834316123,0.31181367834576434,0.01568114008944851,0.026825176076874305,0.9461137393162123
upper_breach_only,1H,NORMAL_RANGE,176,47,0.26704545454545453,0.19151269155815653,0.034171245362068725,0.5694648748221985,0.6222991918192314,0.35775561095769937,0.01516424777218374,-0.008061467130721804,1.0917280657951265
upper_breach_only,2H,LOW_VOL_RANGE,579,180,0.31088082901554404,0.2136563149476822,0.004955641057355464,0.6184521841803602,0.5308827624617098,0.34266529742756,0.01135411595447181,-0.026968460722858346,1.015849870166043
upper_breach_only,2H,NORMAL_RANGE,176,57,0.32386363636363635,0.218829030097084,0.0010466086339727676,0.6293781975464032,0.5422379478107032,0.3576384203680774,0.006879390307350047,0.013718854178164515,0.9734061166437926
upper_breach_only,4H,LOW_VOL_RANGE,579,196,0.3385146804835924,0.22229839536357293,0.009194446652664223,0.6365012018428601,0.5563489103213087,0.3962839507083632,0.014044055819181894,0.04724528218086493,0.982593581613131
upper_breach_only,4H,NORMAL_RANGE,176,57,0.32386363636363635,0.21073318107691524,0.03781666686129048,0.6111182740075244,0.6895179124281291,0.5364436945273049,0.009158398084987402,0.08588591869474377,1.1372107876080944
upper_breach_only,8H,LOW_VOL_RANGE,579,192,0.3316062176165803,0.22176210530533802,0.007118884734115816,0.6355808609065344,0.5503741386735572,0.3138137375088367,0.011159994381038207,0.03210414661373439,0.9760365796847984
