event,horizon,feature,n,true_mean,false_mean,point_biserial,spearman,univariate_auc_positive_orientation,orientation,classification
upside_breakout,12H,atr,4206,3.1048732006443913,4.4310716736935,-0.29743162740947693,-0.3008122237423681,0.317502489830332,higher_feature_lower_event,USEFUL CANDIDATE
upside_breakout,12H,atr_pct,4206,0.0017435686202368842,0.002466038692726742,-0.27529125961408646,-0.2807662496639297,0.32966402208277895,higher_feature_lower_event,USEFUL CANDIDATE
upside_breakout,12H,realized_volatility,4206,45.34449784875326,52.46445911096381,-0.16191925554924302,-0.14982399082811695,0.4091044025992605,higher_feature_lower_event,USEFUL CANDIDATE
upside_breakout,12H,volume,4206,95278.90760276464,129128.45092656143,-0.13039043794014604,-0.14530474615320807,0.4118461495825649,higher_feature_lower_event,USEFUL CANDIDATE
upside_breakout,12H,volume_zscore,4206,0.29274424789098563,0.25533569706555276,0.014108816203530009,0.012058933376295336,0.507315944176868,weak_flat,WEAK
upside_breakout,24H,return_5m,4206,-4.560463393938767e-05,5.083292207968812e-05,-0.025412303395362032,-0.027344177668092717,0.4830517352446354,weak_flat,WEAK
upside_breakout,24H,return_15m,4206,-3.9818150038723555e-05,2.5593153981747245e-05,-0.011164601953727536,-0.013667867893926459,0.4915284735642823,weak_flat,WEAK
upside_breakout,24H,return_1h,4206,-0.00012078805273670839,0.0002792717465854871,-0.032990379483410645,-0.04236623953043265,0.4737408349021104,weak_flat,WEAK
upside_breakout,24H,return_4h,4206,3.092431114347242e-05,-0.00012677225353295514,0.006819512308576507,-0.013870096128376953,0.49140312775578365,weak_flat,WEAK
upside_breakout,24H,vwap,4206,1805.8537516219917,1840.6481140341448,-0.1201403205831353,-0.13729164702828522,0.4149047893043803,higher_feature_lower_event,USEFUL CANDIDATE
upside_breakout,24H,vwap_deviation_pct,4206,0.0004777098691184542,-0.0014064908630005584,0.06922541929823602,0.06574457923599646,0.5407493750951169,weak_flat,CONDITIONAL
upside_breakout,24H,vwap_zscore,4206,0.5160666990265422,0.1658158365827087,0.026468601508800347,0.05448604445153186,0.5337711837022304,weak_flat,WEAK
upside_breakout,24H,atr,4206,3.064126319984062,4.636362908392058,-0.34514136074414975,-0.34897129207856614,0.28370290802275716,higher_feature_lower_event,USEFUL CANDIDATE
upside_breakout,24H,atr_pct,4206,0.0017259768836837028,0.00256800210009656,-0.3140495268022198,-0.3199962493808805,0.30166201766620176,higher_feature_lower_event,USEFUL CANDIDATE
upside_breakout,24H,realized_volatility,4206,44.97739779635396,53.884577452132895,-0.1982720806627573,-0.18809505998466713,0.3834161501689693,higher_feature_lower_event,USEFUL CANDIDATE
upside_breakout,24H,volume,4206,92135.5170850767,138876.83632286996,-0.1762358998768327,-0.1996792257900848,0.37623612857092226,higher_feature_lower_event,USEFUL CANDIDATE
upside_breakout,24H,volume_zscore,4206,0.25004345590374705,0.34353768052681855,-0.0345147681353634,-0.049745166184685094,0.4691672764570864,weak_flat,WEAK
upside_breakout,ALL,return_5m,25236,-0.00011662314605162732,0.00016834508306070006,-0.07724148775964922,-0.07560908205845171,0.4544406009056193,weak_flat,CONDITIONAL
upside_breakout,ALL,return_15m,25236,-0.00011588449199527727,0.00015557144341355343,-0.047659132109204624,-0.047515245859931485,0.47136893334203567,weak_flat,WEAK
upside_breakout,ALL,return_1h,25236,-0.0003051523344997581,0.0005680763001361411,-0.07407074581764546,-0.08665306651421856,0.44778580556072084,higher_feature_lower_event,CONDITIONAL
upside_breakout,ALL,return_4h,25236,-0.000334868632795749,0.0005495598273450272,-0.039341430286874805,-0.04486145447179612,0.472968011056913,weak_flat,WEAK
upside_breakout,ALL,vwap,25236,1812.1254774471427,1825.5671683777725,-0.04774085138555172,-0.05717151796929094,0.4655503847712123,weak_flat,WEAK
upside_breakout,ALL,vwap_deviation_pct,25236,-7.038690390298545e-05,-0.00021413477348797134,0.005432455710616473,0.008196127236637296,0.5049387079388028,weak_flat,WEAK
upside_breakout,ALL,vwap_zscore,25236,0.40294557952727134,0.40771025285444285,-0.00037037465761235983,0.007690992434415877,0.5046343308609623,weak_flat,WEAK
upside_breakout,ALL,atr,25236,3.2168218026582176,4.190449620887663,-0.21985099364445973,-0.224574327721155,0.36467914386917244,higher_feature_lower_event,USEFUL CANDIDATE
upside_breakout,ALL,atr_pct,25236,0.0018066752608414008,0.002331133865261871,-0.20120585359131046,-0.20955716531018198,0.37372796857958324,higher_feature_lower_event,USEFUL CANDIDATE
upside_breakout,ALL,realized_volatility,25236,46.12879954749019,50.84233093600001,-0.10792550915686983,-0.10350079256941774,0.4376339372026782,higher_feature_lower_event,CONDITIONAL
upside_breakout,ALL,volume,25236,101358.48619839802,117179.98989562514,-0.061361719666542046,-0.09152977920084254,0.4448472634591932,higher_feature_lower_event,CONDITIONAL
upside_breakout,ALL,volume_zscore,25236,0.3091910869881798,0.2267929099092627,0.031289176304855594,0.013444488050223613,0.50810119193489,weak_flat,WEAK
