feature,target,regime,horizon,n,auc_oriented
rv_slope_96b,upside_breakout_occurred,TREND_DOWN,1H,190,0.6327703916636722
rv_slope_96b,upside_breakout_occurred,TREND_DOWN,24H,190,0.6627673796791445
rv_slope_96b,upside_breakout_occurred,TREND_DOWN,2H,190,0.6338536812674744
rv_slope_96b,upside_breakout_occurred,TREND_DOWN,4H,189,0.5924050632911393
rv_slope_96b,upside_breakout_occurred,TREND_DOWN,8H,189,0.6388388838883888
rv_slope_96b,upside_breakout_occurred,TREND_UP,12H,179,0.5982482863670983
rv_slope_96b,upside_breakout_occurred,TREND_UP,1H,179,0.56993006993007
rv_slope_96b,upside_breakout_occurred,TREND_UP,24H,179,0.5991508491508492
rv_slope_96b,upside_breakout_occurred,TREND_UP,2H,179,0.537092731829574
rv_slope_96b,upside_breakout_occurred,TREND_UP,4H,179,0.5794871794871794
rv_slope_96b,upside_breakout_occurred,TREND_UP,8H,179,0.6158974358974358
rv_slope_96b,upside_breakout_occurred,VOLATILITY_EXPANSION,12H,324,0.6676052500113538
rv_slope_96b,upside_breakout_occurred,VOLATILITY_EXPANSION,1H,324,0.5872213284302459
rv_slope_96b,upside_breakout_occurred,VOLATILITY_EXPANSION,24H,324,0.6658103099730458
rv_slope_96b,upside_breakout_occurred,VOLATILITY_EXPANSION,2H,324,0.54194509662272
rv_slope_96b,upside_breakout_occurred,VOLATILITY_EXPANSION,4H,319,0.5658904109589041
rv_slope_96b,upside_breakout_occurred,VOLATILITY_EXPANSION,8H,319,0.6109398355754858
rv_slope_96b,downside_breakdown_occurred,HIGH_VOL,12H,163,0.5764525993883792
rv_slope_96b,downside_breakdown_occurred,HIGH_VOL,1H,163,0.5944444444444444
rv_slope_96b,downside_breakdown_occurred,HIGH_VOL,24H,163,0.5166496772001359
rv_slope_96b,downside_breakdown_occurred,HIGH_VOL,2H,163,0.5711835334476845
rv_slope_96b,downside_breakdown_occurred,HIGH_VOL,4H,163,0.5148585750089509
rv_slope_96b,downside_breakdown_occurred,HIGH_VOL,8H,163,0.5312297734627831
rv_slope_96b,downside_breakdown_occurred,LOW_VOL_RANGE,12H,1024,0.5946999317321418
rv_slope_96b,downside_breakdown_occurred,LOW_VOL_RANGE,1H,1024,0.5435788505825412
rv_slope_96b,downside_breakdown_occurred,LOW_VOL_RANGE,24H,1024,0.5758303693086302
