target,horizon,fold,model_family,feature_set,n,positives,base_rate,brier,brier_skill_vs_train_base,log_loss,auc,pr_auc,ece,calibration_intercept,calibration_slope
lower_breach_only,24H,3,tree_depth2,step11_individuals,631,141,0.22345483359746435,0.17395534714698063,0.027892387641626604,0.5303977247398508,0.5853524388478796,0.2720771787239361,0.028663336747475114,-0.1475578906425788,0.9401605140177753
both_side_breach,1H,1,logistic,step11_individuals,631,201,0.3185419968304279,0.20158204557437262,0.07137460079093616,0.5909895790469496,0.6647923174823557,0.4949910754985496,0.02484094179489594,0.034916860888108636,1.1387663112449526
both_side_breach,1H,2,logistic,step11_individuals,631,219,0.347068145800317,0.2163876895290036,0.048721049179370035,0.6222614485978925,0.6372855432903312,0.46874566105401594,0.026959652142003708,0.06580792139236356,0.9822142727899086
both_side_breach,1H,3,logistic,step11_individuals,631,221,0.3502377179080824,0.22024254690986866,0.03511200755158894,0.6305272387669141,0.6134974064672774,0.4445448710881931,0.01981961041716994,-0.00010239665840702954,0.940776894237785
both_side_breach,2H,1,logistic,step11_individuals,631,192,0.30427892234548337,0.20230781861111666,0.048671762123340345,0.5907375526329174,0.6450621678056189,0.42384804688173405,0.03308355883205424,0.09593220575373272,1.0141746680447834
both_side_breach,2H,2,logistic,step11_individuals,631,189,0.29952456418383516,0.20041736216686898,0.046073774874166085,0.5862068760390835,0.6392420215949628,0.40546995085576176,0.023829801286968575,0.02296958820681178,1.0512620377996391
both_side_breach,2H,3,logistic,step11_individuals,631,207,0.32805071315372425,0.20729426813719812,0.06701925177229506,0.6007930720716442,0.6544868289125877,0.45560041347736496,0.03189069937722731,0.09718360273720873,1.069528604123465
both_side_breach,4H,1,logistic,step11_individuals,631,186,0.294770206022187,0.1957365824273791,0.05861513900420601,0.5760217533070954,0.6573758608191373,0.42242755672370597,0.02586226958451582,0.026454904021415725,1.0454038059868256
both_side_breach,4H,2,logistic,step11_individuals,631,194,0.3074484944532488,0.20148683873697448,0.05513543407913124,0.585857612361428,0.6566208214395244,0.39960045983586767,0.03837650568772377,0.02941808732680636,1.0799979000362698
both_side_breach,4H,3,logistic,step11_individuals,631,204,0.3232963549920761,0.20608855511424215,0.061739290636863675,0.596684795007075,0.6480116636818661,0.4297237695247393,0.027344601690919217,0.01943773272348734,1.0779363629621683
both_side_breach,8H,1,logistic,step11_individuals,631,207,0.32805071315372425,0.2095158441300939,0.04964817986038106,0.6048280357941699,0.6329641782882144,0.4316410041419337,0.021814447338120546,-0.07208235394258074,1.0406653100136658
both_side_breach,8H,2,logistic,step11_individuals,631,187,0.29635499207606975,0.2032838945457164,0.03205799297172607,0.59135482836038,0.6508165919930626,0.39454568421356145,0.08243750043756745,-0.3014850366432438,1.1729249008010953
both_side_breach,8H,3,logistic,step11_individuals,631,213,0.3375594294770206,0.21939157147551916,0.019542268189177592,0.6267490632594748,0.6065772626187749,0.3891877735700478,0.03821742016492153,-0.1693213890834208,0.9672801830427495
both_side_breach,12H,1,tree_depth2,step11_individuals,631,212,0.3359746434231379,0.21495154644638564,0.037282631163475966,0.614573200648287,0.5936866753726302,0.41048153856746733,0.04399732294314329,-0.1784960467214029,0.9602301733523699
both_side_breach,12H,2,tree_depth2,step11_individuals,631,228,0.3613312202852615,0.2154941429140006,0.06693032535487298,0.6181841299004683,0.656730225066388,0.47712878488585114,0.053583366908507235,-0.1800454252689053,1.2106764786873407
both_side_breach,12H,3,tree_depth2,step11_individuals,631,237,0.375594294770206,0.21626136947790411,0.08076843902829489,0.6167779890842492,0.6887810833386879,0.4066343940273379,0.03717410502417929,-0.10830524454845339,1.234111472152378
both_side_breach,24H,1,logistic,compact_deredundant,631,243,0.38510301109350237,0.22450446427616394,0.055356554142886316,0.6354635888726134,0.6288447668745493,0.45814915448018684,0.02647280834342324,0.004976815542352897,0.8150767016048424
both_side_breach,24H,2,logistic,compact_deredundant,631,222,0.3518225039619651,0.21071930384263476,0.07745247437966463,0.6052317426416396,0.7067336284940197,0.5650229820577743,0.0994436633802406,-0.41363171098176427,1.213205149648822
both_side_breach,24H,3,logistic,compact_deredundant,631,233,0.3692551505546751,0.21475206830496665,0.07811642318616485,0.6133068406345668,0.6913645480621994,0.5503235395422001,0.0834418771057857,-0.3424363056119927,1.1593495204848618
fast_1atr_touch,1H,1,logistic,all_step13,631,622,0.9857369255150554,0.015183384044344859,-0.0746245571416968,0.08819181835879253,0.6150410861021793,0.9911979829996114,0.030499243201231874,0.11076647646206705,1.312596485416893
fast_1atr_touch,1H,2,logistic,all_step13,631,621,0.9841521394611727,0.016181131101504383,-0.0361424400348358,0.08874240731805805,0.7064412238325282,0.9930245867021218,0.024720708219740244,0.08218111205121739,1.2658099390659454
fast_1atr_touch,1H,3,logistic,all_step13,631,609,0.96513470681458,0.03217249509886025,0.05068090662050484,0.13572170429355185,0.8628153455739662,0.993416073275529,0.003786254321655691,-0.02831353228628786,1.0810626341481002
up_excursion_ge_1_0_atr,1H,1,logistic,all_step13,631,423,0.6703645007923931,0.2251789463614853,-0.012681901347753044,0.6429118141848283,0.5081605746499364,0.6806890841420749,0.030818404116258833,0.15875273061291187,0.9106222840993041
up_excursion_ge_1_0_atr,1H,2,logistic,all_step13,631,406,0.6434231378763867,0.22203768284637568,0.032219989185971576,0.634922168993316,0.6091406677613574,0.7354444914468965,0.015449171483454089,-0.06711733905350398,1.0631628435326086
up_excursion_ge_1_0_atr,1H,3,logistic,all_step13,631,394,0.624405705229794,0.2295314570164266,0.02283295150461817,0.6510740667571062,0.595493585212791,0.6969102024684606,0.030534228316402234,-0.11248290608075374,0.9809880700162512
up_excursion_ge_1_0_atr,2H,1,logistic,compact_deredundant,631,486,0.7702060221870047,0.1817837659116579,-0.020234667878459067,0.5511876411747464,0.5012345679012346,0.7721393174919631,0.0548650998921206,0.16721805325365388,0.9376214679392746
up_excursion_ge_1_0_atr,2H,2,logistic,compact_deredundant,631,475,0.7527733755942948,0.18196626090565712,0.022548668858098142,0.5481783912960573,0.6030229419703104,0.8106022467975111,0.01393593839331945,-0.03529176216532818,1.0199711441250114
up_excursion_ge_1_0_atr,2H,3,logistic,compact_deredundant,631,467,0.7400950871632329,0.19104149812111273,0.007130849457025135,0.5701761225601705,0.5671776257377135,0.7757221764892105,0.024131408761229975,-0.04029420089342733,0.9153044093269168
up_excursion_ge_1_0_atr,4H,1,tree_depth2,compact_deredundant,631,541,0.8573692551505546,0.12709554584529595,-0.01890971643836825,0.4241282040654005,0.5303758471965496,0.8460391381003314,0.04962903893324721,0.1919162345986326,1.0333766886713063
up_excursion_ge_1_0_atr,4H,2,tree_depth2,compact_deredundant,631,535,0.8478605388272583,0.12624521613052794,0.026580539102885714,0.41627272456624886,0.6057827102803738,0.8952798703323605,0.03403170282398667,-0.0019781883603420362,1.0599695744127153
up_excursion_ge_1_0_atr,4H,3,tree_depth2,compact_deredundant,631,526,0.8335974643423137,0.13883171191363944,-0.0007141124244347541,0.4519722619173434,0.5457903313416621,0.8339985501800422,0.01652195563434749,0.0029373518096598413,0.9108514488136543
up_excursion_ge_1_0_atr,8H,1,logistic,step11_individuals,631,569,0.901743264659271,0.09363027750211715,-0.03722932699491155,0.3409229199154917,0.4802993366970917,0.8907075059684101,0.04328265508287012,0.178873578297875,1.0877237570096507
up_excursion_ge_1_0_atr,8H,2,logistic,step11_individuals,631,557,0.8827258320126783,0.10006953033632247,0.034568712468053264,0.34697498624668177,0.6771313503809016,0.9319195181819059,0.01418770455578507,-0.028069135355722044,1.0816452742968432
up_excursion_ge_1_0_atr,8H,3,logistic,step11_individuals,631,569,0.901743264659271,0.08792050935650107,0.01500058972396967,0.3169804015362396,0.631895232156018,0.9323933715083838,0.01801734214632794,0.03473960323827942,1.0798570305265025
up_excursion_ge_1_0_atr,12H,1,logistic,step11_individuals,631,578,0.9160063391442155,0.08136752873072371,-0.03898494961203269,0.3076541216866418,0.4515570934256055,0.9008087537340367,0.039058015970077936,0.16007575372910574,1.0941500183942459
up_excursion_ge_1_0_atr,12H,2,logistic,step11_individuals,631,575,0.9112519809825673,0.07918896054219704,0.027908391587739168,0.2917666909913305,0.6606211180124224,0.9458811186818491,0.02450941261414362,0.016636194579388617,1.1267760986379272
up_excursion_ge_1_0_atr,12H,3,logistic,step11_individuals,631,587,0.93026941362916,0.06454233067334915,0.024171457413299513,0.2508294886383449,0.6807728047080688,0.9583641972372776,0.028436424071198695,0.05060006062466356,1.1578097802031455
up_excursion_ge_1_0_atr,24H,1,logistic,step11_individuals,631,604,0.9572107765451664,0.04523329214532014,-0.04771368834607581,0.20343843951027857,0.4032376747608536,0.9373118410430247,0.05110238560381968,0.175644816566958,1.2507744135425283
up_excursion_ge_1_0_atr,24H,2,logistic,step11_individuals,631,591,0.936608557844691,0.058111486203517165,0.025453245106284217,0.22867026670966245,0.6653976311336718,0.9634226392857563,0.015263392284093902,0.009493401897163255,1.108368009120724
up_excursion_ge_1_0_atr,24H,3,logistic,step11_individuals,631,604,0.9572107765451664,0.04145939436128213,0.010050663219420497,0.1800255644442165,0.6377851361295069,0.976904886033804,0.02740005804085766,0.06551733089044173,1.18128390507447
down_excursion_ge_1_0_atr,1H,1,logistic,step11_individuals,631,410,0.6497622820919176,0.22270964112808792,0.02312736022945283,0.6363871456849431,0.5948681161019755,0.7323282045457471,0.015535263425613956,-0.047868325276731453,0.9919814993451437
down_excursion_ge_1_0_atr,1H,2,logistic,step11_individuals,631,417,0.6608557844690967,0.22371336675920975,0.0018977818179551909,0.6394935119163486,0.5427284340751698,0.7007635531767438,0.014631109913810529,0.029465594524858536,0.9150472684606504
down_excursion_ge_1_0_atr,1H,3,logistic,step11_individuals,631,403,0.6386687797147385,0.22004608211339982,0.04906075054159387,0.6307909498047279,0.6505158678333551,0.7390709308047425,0.036094759650294676,-0.141096581478755,1.0950391202068366
down_excursion_ge_1_0_atr,2H,1,logistic,step11_individuals,631,459,0.7274167987321711,0.1984389826256356,0.01022739862042199,0.5861497459664445,0.5685387850230531,0.7858281371157614,0.05265461087006036,-0.09272272722489606,0.8772865578243605
down_excursion_ge_1_0_atr,2H,2,logistic,step11_individuals,631,474,0.751188589540412,0.18590507241244372,0.0059687044298811776,0.5584298189417856,0.5509554140127388,0.784583973008036,0.021188467963773296,-0.006178657218626439,0.9397271696613133
down_excursion_ge_1_0_atr,2H,3,logistic,step11_individuals,631,460,0.7290015847860539,0.19081578844010968,0.03851099562922433,0.5672432253771487,0.6573989321128909,0.8043148499687166,0.03683076747125043,-0.1401927157533576,1.0044282337891777
down_excursion_ge_1_0_atr,4H,1,logistic,step11_individuals,631,504,0.7987321711568938,0.1615251537877451,0.009388731264685424,0.5051756263183794,0.5642888388951381,0.841341018063919,0.04708305359883905,-0.09427936314732377,0.8668426135693166
down_excursion_ge_1_0_atr,4H,2,logistic,step11_individuals,631,529,0.838351822503962,0.1346682868457564,0.006439480205305936,0.43958543908352393,0.5480744282590163,0.8606692744347902,0.012109651193426113,0.015178225313622168,1.0021605203119788
down_excursion_ge_1_0_atr,4H,3,logistic,step11_individuals,631,510,0.8082408874801902,0.15177684642819503,0.025080255788826,0.4782758386619546,0.6539620807000486,0.8617199406230108,0.027730051751360046,-0.09588253145229624,0.956980236416652
down_excursion_ge_1_0_atr,8H,1,tree_depth2,step11_individuals,631,534,0.8462757527733756,0.13357290159793644,0.00327288683751914,0.4525997804657234,0.5725896752770377,0.8714438322421226,0.06625395703637416,-0.07188408959415038,0.7393134367496904
down_excursion_ge_1_0_atr,8H,2,tree_depth2,step11_individuals,631,557,0.8827258320126783,0.10431786404130877,-0.006672337707555487,0.3649970800393839,0.54388859236256,0.8790211206461662,0.019954403184443647,0.01635709547482468,0.9290324058162671
