event,horizon,n,base_rate,mean_predicted_probability,brier,base_rate_brier,brier_delta_model_minus_base,relative_brier_improvement,log_loss,base_rate_log_loss,log_loss_delta_model_minus_base,auc,pr_auc_average_precision,ece,monotonicity,assessment
range_continuation,8H,4206,0.05254398478364242,0.31954046600095104,0.1678083502044698,0.04978311444669877,0.11802523575777102,-2.3707885107135462,0.4931818357244236,0.20593879395539147,0.28724304176903215,0.5536315481698905,0.05882411577741665,0.2669964812173086,flat,POORLY CALIBRATED BUT RANKING SIGNAL
range_continuation,12H,4206,0.05515929624346172,0.31954046600095104,0.16929394221588207,0.052116748281387744,0.11717719393449433,-2.2483596501806575,0.49994462232016973,0.21343496832333653,0.2865096539968332,0.5427541953733752,0.059399564374882544,0.2643811697574893,flat,NO CLEAR SIGNAL
range_continuation,24H,4206,0.0475511174512601,0.31954046600095104,0.1642241371754636,0.04529000868039658,0.11893412849506703,-2.626056650471492,0.48089864191974435,0.19124053046377107,0.2896581114559733,0.5848096605092361,0.057260270921169594,0.2719893485496909,flat,POORLY CALIBRATED BUT RANKING SIGNAL
range_continuation,ALL,25236,0.04751149152005072,0.31954046600095104,0.16708773679505468,0.045254149693590866,0.1218335871014638,-2.6922080721078827,0.4920909301086547,0.19112174504878934,0.30096918505986536,0.5426554655123532,0.050921994799133674,0.2720289744809003,flat,NO CLEAR SIGNAL
trend_continuation,1H,4015,0.33798256537982563,0.2977531257783313,0.22890591908841842,0.22375035087909753,0.005155568209320893,-0.023041609494979878,0.6523354671670557,0.6396882477049096,0.012647219462146086,0.5383353489112275,0.3649066815692625,0.06404757160647569,noisy,WEAK
trend_continuation,2H,4015,0.37036114570361145,0.2977531257783313,0.2438960062615193,0.23319376745671974,0.010702238804799563,-0.04589418886071162,0.6855073242773092,0.6591476087717479,0.026359715505561265,0.5242095524077873,0.38444556574565614,0.09542988792029886,noisy,WEAK
trend_continuation,4H,4015,0.3937733499377335,0.2977531257783313,0.2554425068841843,0.23871589881654878,0.016726608067635512,-0.07006909950513926,0.7104418193174356,0.6704060621361134,0.04003575718132213,0.5030735516302103,0.3929077074642157,0.11934022415940224,noisy,NO CLEAR SIGNAL
trend_continuation,8H,4015,0.42266500622665004,0.2977531257783313,0.26832977961145704,0.2440192987380759,0.02431048087338114,-0.09962523865571547,0.737935646118716,0.6811376240142621,0.05679802210445384,0.49724225311581166,0.41573469277283,0.14450017434620174,noisy,NO CLEAR SIGNAL
trend_continuation,12H,4015,0.424906600249066,0.2977531257783313,0.2670661183412204,0.24436098131384645,0.02270513702737395,-0.09291637685073983,0.734922312088739,0.6818263579236824,0.053095954165056636,0.5133437281203019,0.4312651584116129,0.14399775840597756,noisy,NO CLEAR SIGNAL
trend_continuation,24H,4015,0.45603985056039853,0.2977531257783313,0.27598377712079697,0.2480675052612479,0.027916271859549063,-0.11253498046892331,0.7538689710391988,0.6892771962409523,0.06459177479824652,0.5331169490440381,0.484867158895146,0.16591985056039843,noisy,NO CLEAR SIGNAL
trend_continuation,ALL,24090,0.4009547530095475,0.29775312577833124,0.2566040178845994,0.24019003904860026,0.016413978835999155,-0.06833746687004758,0.7125019233347379,0.6733968874741025,0.039105035860635406,0.5178745631408337,0.4113597047601298,0.12112519717725193,noisy,NO CLEAR SIGNAL
