event,horizon,live_n,backtest_n,live_base_rate,backtest_base_rate,live_mean_predicted_probability,backtest_mean_predicted_probability,live_brier,backtest_brier,live_brier_delta_model_minus_base,backtest_brier_delta_model_minus_base,live_auc,backtest_auc,live_pr_auc,backtest_pr_auc,classification
range_continuation,4H,1154,4206,0.09185441941074524,0.0432715168806467,0.212636568457539,0.31954046600095104,0.13680571242634315,0.16568714240608653,0.05338852738088301,0.12428804969859193,0.526659045081377,0.5437478153059664,0.0930029372480457,0.047779587634599885,CONFIRMS BACKTEST FAILURE
range_continuation,8H,1106,4206,0.08770343580470162,0.05254398478364242,0.20725913200723328,0.31954046600095104,0.13084127835443038,0.1678083502044698,0.050829735201678175,0.11802523575777102,0.5525170373851829,0.5536315481698905,0.09378177591946776,0.05882411577741665,MIXED
range_continuation,12H,1058,4206,0.046313799621928164,0.05515929624346172,0.21027627599243856,0.31954046600095104,0.11358965082230624,0.16929394221588207,0.06942081923579818,0.11717719393449433,0.48571024048866324,0.5427541953733752,0.04678556127811542,0.059399564374882544,CONFIRMS BACKTEST FAILURE
range_continuation,24H,915,4206,0.020765027322404372,0.0475511174512601,0.2249432786885246,0.31954046600095104,0.11338516243715847,0.1642241371754636,0.0930513214744543,0.11893412849506703,0.3226914943609023,0.5848096605092361,0.015186188512170984,0.057260270921169594,CONFIRMS BACKTEST FAILURE
trend_continuation,1H,1127,4015,0.36024844720496896,0.33798256537982563,0.35163655723158826,0.2977531257783313,0.24287047827861583,0.22890591908841842,0.012400974787238173,0.005155568209320893,0.5511963406052076,0.5383353489112275,0.3872983789088667,0.3649066815692625,MIXED
trend_continuation,2H,1115,4015,0.3847533632286996,0.37036114570361145,0.35139587443946185,0.2977531257783313,0.24814136157847536,0.2438960062615193,0.011423148865571414,0.010702238804799563,0.5949373755496205,0.5242095524077873,0.42971816862622797,0.38444556574565614,MIXED
trend_continuation,4H,1091,4015,0.384967919340055,0.3937733499377335,0.3512414298808433,0.2977531257783313,0.2540058989000916,0.2554425068841843,0.017238278481047725,0.016726608067635512,0.5274057909303811,0.5030735516302103,0.39615702257377605,0.3929077074642157,CONFIRMS BACKTEST FAILURE
trend_continuation,8H,1046,4015,0.5745697896749522,0.42266500622665004,0.3495388145315487,0.2977531257783313,0.3028541500956023,0.26832977961145704,0.05841480362776891,0.02431048087338114,0.5958197012469854,0.49724225311581166,0.625900170646234,0.41573469277283,MIXED
trend_continuation,12H,998,4015,0.5751503006012024,0.424906600249066,0.34801933867735474,0.2977531257783313,0.2843550061222445,0.2670661183412204,0.04000257380269559,0.02270513702737395,0.6696038228913287,0.5133437281203019,0.7074466240395123,0.4312651584116129,MIXED
trend_continuation,24H,862,4015,0.6310904872389791,0.45603985056039853,0.3488440835266821,0.2977531257783313,0.30058147303944316,0.27598377712079697,0.0677661888839961,0.027916271859549063,0.6556748288938217,0.5331169490440381,0.7714839125124641,0.484867158895146,MIXED
