target,horizon,feature_set,model_family,raw_brier,selected_brier,calibration,raw_ece,selected_ece
path_inside_70,2H,step12_interactions,tree_depth2,0.0411454617629851,0.04108214778667813,platt,0.006273609878394676,0.0006928033359009725
path_inside_70,2H,step12_interactions,boosted_stumps,0.04220764474799023,0.04220327982055005,platt,0.002089252566579533,6.989046688353484e-06
path_inside_70,2H,all_step13,logistic,0.04022931402199677,0.04022931402199677,none,0.004609571937812506,0.004609571937812506
path_inside_70,2H,all_step13,tree_depth2,0.04005953936399431,0.039978032480059794,platt,0.007063161306570488,0.00234687168014685
path_inside_70,2H,all_step13,boosted_stumps,0.04199981037134441,0.04199280851483052,platt,0.0018565589399495777,0.0006871613893126294
path_inside_70,2H,compact_deredundant,logistic,0.04021537707906349,0.04021537707906349,none,0.0026856941788342757,0.0026856941788342757
path_inside_70,2H,compact_deredundant,tree_depth2,0.040066011250791386,0.03991199630055464,platt,0.010307039539819107,0.002064042562878085
path_inside_70,2H,compact_deredundant,boosted_stumps,0.04199981037134441,0.04199280851483052,platt,0.0018565589399495777,0.0006871613893126294
path_inside_70,4H,step11_individuals,logistic,0.03306266062668905,0.03301968384683086,platt,0.017169842339944306,0.002129317827187397
path_inside_70,4H,step11_individuals,tree_depth2,0.03259744343849317,0.03259744343849317,none,0.0031392455496607264,0.0031392455496607264
path_inside_70,4H,step11_individuals,boosted_stumps,0.03461081297284173,0.03456686199401952,platt,0.007619314720155035,0.00032723983483978064
path_inside_70,4H,step12_interactions,logistic,0.033594664649595166,0.03335049624975163,platt,0.017648311440070896,0.0010133969673415885
path_inside_70,4H,step12_interactions,tree_depth2,0.033584107590700976,0.033584107590700976,none,0.0032580755204517364,0.0032580755204517364
path_inside_70,4H,step12_interactions,boosted_stumps,0.03473133885691991,0.03467729774761486,platt,0.007351511477622363,6.00974257441364e-05
path_inside_70,4H,all_step13,logistic,0.03296501409263726,0.03290214051455602,platt,0.01613787162685681,0.0023724160200346506
path_inside_70,4H,all_step13,tree_depth2,0.03259744343849317,0.03259744343849317,none,0.0031392455496607264,0.0031392455496607264
path_inside_70,4H,all_step13,boosted_stumps,0.03461081297284173,0.03456686199401952,platt,0.007619314720155035,0.00032723983483978064
path_inside_70,4H,compact_deredundant,logistic,0.0331959566347364,0.03315162387423916,platt,0.016482260522055252,0.0029349793099443305
path_inside_70,4H,compact_deredundant,tree_depth2,0.03259744343849317,0.03259744343849317,none,0.0031392455496607264,0.0031392455496607264
path_inside_70,4H,compact_deredundant,boosted_stumps,0.03461081297284173,0.03456686199401952,platt,0.007619314720155035,0.00032723983483978064
path_inside_70,8H,step11_individuals,logistic,0.04170445232121659,0.04170445232121659,none,0.0036810588756858342,0.0036810588756858342
path_inside_70,8H,step11_individuals,tree_depth2,0.0427411713245696,0.0427411713245696,none,0.018367599274089944,0.018367599274089944
path_inside_70,8H,step11_individuals,boosted_stumps,0.043617543003328194,0.043617543003328194,none,0.002814029098769655,0.002814029098769655
path_inside_70,8H,step12_interactions,logistic,0.041102069799435,0.04102042413321078,platt,0.011583645286387043,0.0013101874677873063
path_inside_70,8H,step12_interactions,tree_depth2,0.04095408098198021,0.040935151908341995,platt,0.002697543630081997,0.0009728756267229216
path_inside_70,8H,step12_interactions,boosted_stumps,0.04390986283408675,0.043888397500326526,platt,0.00463311591768327,2.072067726639759e-05
path_inside_70,8H,all_step13,logistic,0.041299564571736065,0.041299564571736065,none,0.0025174274935214455,0.0025174274935214455
path_inside_70,8H,all_step13,tree_depth2,0.0427411713245696,0.0427411713245696,none,0.018367599274089944,0.018367599274089944
path_inside_70,8H,all_step13,boosted_stumps,0.043617543003328194,0.043617543003328194,none,0.002814029098769655,0.002814029098769655
path_inside_70,8H,compact_deredundant,logistic,0.04124794520368164,0.04124794520368164,none,0.0036492908593552123,0.0036492908593552123
path_inside_70,8H,compact_deredundant,tree_depth2,0.041972297539264264,0.041972297539264264,none,0.013682830107335805,0.013682830107335805
path_inside_70,8H,compact_deredundant,boosted_stumps,0.04357937980961419,0.04357937980961419,none,0.0029699399930638026,0.0029699399930638026
path_inside_70,12H,step11_individuals,logistic,0.056628799490942135,0.05597689447490104,platt,0.020065057342732187,0.003397623714337078
path_inside_70,12H,step11_individuals,tree_depth2,0.05905352500961779,0.056402787698487826,platt,0.042545496237658256,0.002843939930449812
