target,horizon,strategy_relevance,feature_set,model_family,calibration,split,n,positives,base_rate,brier,brier_skill_vs_train_base,log_loss,auc,pr_auc,ece,calibration_intercept,calibration_slope
realized_over_range_width_ge_1,8H,BOTH,compact_deredundant,logistic,platt,validation,826,695,0.8414043583535109,0.121067562313069,0.09684383658545292,0.40222360827447967,0.697764841561865,0.8854454726286513,0.0346274054712416,-0.039277047487964054,1.0212267678155784
realized_over_range_width_ge_1,8H,BOTH,compact_deredundant,tree_depth2,platt,validation,826,695,0.8414043583535109,0.11840052077817993,0.11673979347346608,0.3890967726610676,0.7032456477566039,0.9083018220450998,0.0288900140956748,-0.11606020505449419,1.0630276557657117
realized_over_range_width_ge_1,8H,BOTH,compact_deredundant,boosted_stumps,platt,validation,826,695,0.8414043583535109,0.1304057648097137,0.02718145155907714,0.4268542237501726,0.6061508045472019,0.8784250178117569,0.04607985971002003,-0.0524393932921593,1.0307154486829702
realized_over_range_width_ge_1,12H,BOTH,step11_individuals,logistic,platt,validation,818,684,0.8361858190709046,0.11896613705338897,0.1410461723269164,0.3974777082219951,0.7272300776817666,0.8906343232321865,0.03445305093060139,-0.08813702044903296,1.048430421651655
realized_over_range_width_ge_1,12H,BOTH,step11_individuals,tree_depth2,platt,validation,818,684,0.8361858190709046,0.12597340187321132,0.09045264136436859,0.41194826914769456,0.6722091297896482,0.8996892634016249,0.012610911408709916,0.0025852513049121127,0.9986441191938739
realized_over_range_width_ge_1,12H,BOTH,step11_individuals,boosted_stumps,platt,validation,818,684,0.8361858190709046,0.13341040077665717,0.036756364148537446,0.4339091756423936,0.6169372436065288,0.8559065118789707,0.0530693723374792,-0.0616003225707307,1.0366064908359693
realized_over_range_width_ge_1,12H,BOTH,step12_interactions,logistic,platt,validation,818,684,0.8361858190709046,0.12570913015053137,0.09236072389410421,0.417013059607808,0.6508139128916819,0.8743123598168184,0.022134053916012537,0.015595328897407787,0.9914734650819562
realized_over_range_width_ge_1,12H,BOTH,step12_interactions,tree_depth2,platt,validation,818,684,0.8361858190709046,0.12371178305696592,0.10678187745681766,0.40689504311920405,0.6416928515318147,0.8679951985795262,0.014633961214639914,-0.0711874910164615,1.039529533248016
realized_over_range_width_ge_1,12H,BOTH,step12_interactions,boosted_stumps,platt,validation,818,684,0.8361858190709046,0.1369790951898166,0.01098984098570499,0.44594088373409846,0.490082482325216,0.8202165567273656,1.1584110026108263e-05,,
realized_over_range_width_ge_1,12H,BOTH,all_step13,logistic,platt,validation,818,684,0.8361858190709046,0.11933937302038673,0.1383513511751283,0.40033236504624925,0.7222004015012656,0.8872393963690102,0.043705626346474416,-0.0742001670221875,1.0407336284906845
realized_over_range_width_ge_1,12H,BOTH,all_step13,tree_depth2,platt,validation,818,684,0.8361858190709046,0.12597340187321132,0.09045264136436859,0.41194826914769456,0.6722091297896482,0.8996892634016249,0.012610911408709916,0.0025852513049121127,0.9986441191938739
realized_over_range_width_ge_1,12H,BOTH,all_step13,boosted_stumps,platt,validation,818,684,0.8361858190709046,0.13341040077665717,0.036756364148537446,0.4339091756423936,0.6169372436065288,0.8559065118789707,0.0530693723374792,-0.0616003225707307,1.0366064908359693
