target,horizon,split,train_base_probability,n,positives,base_rate,brier,brier_skill_vs_train_base,log_loss,auc,pr_auc,ece,calibration_intercept,calibration_slope
range_breached,12H,validation,0.9524,818,766,0.9364303178484108,0.05978360841075796,0.0,0.23923461715123545,0.46266820646716206,0.9358061848070096,0.01596968215158956,,
range_breached,12H,test,0.9524,842,783,0.9299287410926366,0.06566623505938243,0.0,0.25871433164869856,0.5735004437517588,0.9244223087332665,0.022471258907363678,,
range_breached,24H,validation,0.9616316639741519,794,758,0.9546599496221663,0.04333293501057494,0.0,0.1851821782192708,0.40838463793608915,0.965775180823935,0.006971714351985847,,
range_breached,24H,test,0.9616316639741519,842,774,0.9192399049881235,0.07603496329547871,0.0,0.29928427298540294,0.5842833257333941,0.9101797808984812,0.04239175898602865,,
realized_over_range_width_ge_1,1H,validation,0.8683584456780333,840,731,0.8702380952380953,0.11292728591693578,0.0,0.3859493628505712,0.4675008471491861,0.8836905783551064,0.0018796495600617025,,
realized_over_range_width_ge_1,1H,test,0.8683584456780333,842,736,0.8741092636579573,0.11007533075273926,0.0,0.37864631902639695,0.4912582034454471,0.8829201326679715,0.005750817979923717,,
realized_over_range_width_ge_1,2H,validation,0.8607142857142858,838,714,0.8520286396181385,0.12615127733671033,0.0,0.41948333272485366,0.4944994126682931,0.8544729164364703,0.008685646096147304,,
realized_over_range_width_ge_1,2H,test,0.8607142857142858,842,733,0.8705463182897862,0.11279209486645013,0.0,0.3857582828880364,0.4939734908694945,0.8657359366095677,0.009832032575500582,,
realized_over_range_width_ge_1,4H,validation,0.8577106518282989,834,707,0.8477218225419664,0.1291893108386047,0.0,0.42704162337636054,0.5381505529630578,0.8272410811728655,0.00998882928633249,,
realized_over_range_width_ge_1,4H,test,0.8577106518282989,842,724,0.8598574821852731,0.12050720139585741,0.0,0.40524107391585074,0.47573508755501454,0.8754552908062453,0.002146830356974272,,
realized_over_range_width_ge_1,8H,validation,0.8660287081339713,826,695,0.8414043583535109,0.134049422699338,0.0,0.43982308058139635,0.49848975781207094,0.8411208231684334,0.02462434978046013,,
realized_over_range_width_ge_1,8H,test,0.8660287081339713,842,707,0.8396674584323041,0.13532093316797267,0.0,0.4430646439142275,0.512064539787312,0.8554839691079902,0.0263612497016672,,
realized_over_range_width_ge_1,12H,validation,0.8752,818,684,0.8361858190709046,0.13850120136919314,0.0,0.45237027610187763,0.490082482325216,0.8202165567273656,0.03901418092909503,,
realized_over_range_width_ge_1,12H,test,0.8752,842,710,0.8432304038004751,0.13321494498812353,0.0,0.43864925681165945,0.5380495091762697,0.8506742321563538,0.031969596199524664,,
realized_over_range_width_ge_1,24H,validation,0.8998384491114702,794,703,0.8853904282115869,0.10168296315081314,0.0,0.3571574229264298,0.4520031888452941,0.9054941404347623,0.014448020899883618,,
realized_over_range_width_ge_1,24H,test,0.8998384491114702,842,703,0.834916864608076,0.14204550593552703,0.0,0.46796864181743647,0.5744241022544695,0.82698425725963,0.06492158450339447,,
oscillatory_path,1H,validation,0.4357652656621729,840,383,0.45595238095238094,0.24846732687997597,0.0,0.6900878047824248,0.5003056601402037,0.455812925892596,0.02018711529020789,,
oscillatory_path,1H,test,0.4357652656621729,842,375,0.44536817102137766,0.2471075790537884,0.0,0.6873531979864811,0.4822326909350464,0.4589765155474112,0.009602905359204605,,
oscillatory_path,2H,validation,0.42777777777777776,838,393,0.46897374701670647,0.25073447950735134,0.0,0.6946633776793683,0.4544186179489379,0.5129826084316128,0.04119596923892871,,
oscillatory_path,2H,test,0.42777777777777776,842,346,0.41092636579572445,0.24234985777543175,0.0,0.6777760265157757,0.47555006526198024,0.42513486782430143,0.01685141198205331,,
oscillatory_path,4H,validation,0.44395866454689986,834,360,0.4316546762589928,0.24548030485052585,0.0,0.684082934779144,0.4514240506329114,0.4717789913803131,0.012303988287907075,,
oscillatory_path,4H,test,0.44395866454689986,842,363,0.4311163895486936,0.24541997223832226,0.0,0.6839617604249805,0.5266021382931613,0.4013330990920096,0.012842274998206227,,
oscillatory_path,8H,validation,0.4409888357256778,826,368,0.44552058111380144,0.24705252963408483,0.0,0.6872409889627674,0.4704765521169546,0.4840196314894425,0.004531745388123565,,
oscillatory_path,8H,test,0.4409888357256778,842,394,0.4679334916864608,0.24969775352942267,0.0,0.69255620813907,0.4659173313995649,0.4739484704354827,0.026944655960782993,,
oscillatory_path,12H,validation,0.4308,818,343,0.4193154034229829,0.24362189183374086,0.0,0.6803396192214253,0.49891054166027315,0.4155853355490732,0.011484596577017003,,
oscillatory_path,12H,test,0.4308,842,446,0.5296912114014252,0.2588979036579573,0.0,0.7110889860874906,0.4408434116954296,0.5615735555087112,0.09889121140142526,,
oscillatory_path,24H,validation,0.43820678513731826,794,255,0.3211586901763224,0.23171604243454963,0.0,0.6564110465623602,0.5239768634726618,0.2997850991910169,0.11704809496099577,,
oscillatory_path,24H,test,0.43820678513731826,842,493,0.5855106888361045,0.2643863621396762,0.0,0.7220874305898317,0.4190704243361212,0.6193755651547584,0.14730390369878626,,
trend_efficiency_high,1H,validation,0.1641554321966693,840,128,0.1523809523809524,0.129299636107357,0.0,0.42733225422908827,0.5413228581460674,0.13594168136089826,0.011774479815716943,,
trend_efficiency_high,1H,test,0.1641554321966693,842,129,0.15320665083135393,0.12985424878577898,0.0,0.4286761849192367,0.5034410776607195,0.16971219634881313,0.010948781365315408,,
trend_efficiency_high,2H,validation,0.18174603174603174,838,117,0.13961813842482101,0.1218996732432918,0.0,0.41064672859459994,0.5615420178526974,0.12332605397595475,0.042127893321210697,,
trend_efficiency_high,2H,test,0.18174603174603174,842,138,0.16389548693586697,0.1373523982479417,0.0,0.4471735162894372,0.46719573451910407,0.19243102915563504,0.017850544810164737,,
trend_efficiency_high,4H,validation,0.18044515103338632,834,132,0.15827338129496402,0.13371450544175656,0.0,0.43851451629221916,0.5626456876456877,0.1407282926608513,0.02217176973842233,,
trend_efficiency_high,4H,test,0.18044515103338632,842,150,0.17814726840855108,0.14641609943168024,0.0,0.46859035464524734,0.47621387283236993,0.21317287903805127,0.0022978826248352957,,
trend_efficiency_high,8H,validation,0.18779904306220097,826,130,0.15738498789346247,0.13353996823104422,0.0,0.43847817788357263,0.49890583554376655,0.1638417266535343,0.03041405516873849,,
trend_efficiency_high,8H,test,0.18779904306220097,842,141,0.167458432304038,0.139829846200327,0.0,0.4532294812880776,0.4971519915824405,0.20512063035608677,0.02034061075816293,,
